Znacznik,CZAS,Grupa 1 - Pole 0,CZAS,Grupa 10 - Pole 2,CZAS,Grupa 11 - Pole 1,,,,,,,,,,,,,,,,,,,
,ZAPISU,Engine Speed - (G28),ZAPISU,Boost Pressure - (actual),ZAPISU,Boost Pressure - (specified),,,,,,,,,,,,,,,,,,,
,, /min,, mbar,, mbar,,,,,,,,,,,,,,,,,,,
,43.29,2457,43.37,1132.2,43.21,1152.6,,,,,,,,,,,,,,,,,,,
,43.54,2436,43.62,1132.2,43.46,1152.6,,,,,,,,,,,,,,,,,,,
,43.79,2394,43.87,1122.0,43.71,1142.4,,,,,,,,,,,,,,,,,,,
,44.04,2331,44.12,1122.0,43.95,1142.4,,,,,,,,,,,,,,,,,,,
,44.30,2310,44.38,1122.0,44.21,1142.4,,,,,,,,,,,,,,,,,,,
,44.55,2310,44.64,1132.2,44.46,1173.0,,,,,,,,,,,,,,,,,,,
,44.82,2289,44.90,1203.6,44.73,1203.6,,,,,,,,,,,,,,,,,,,
,45.08,2268,45.17,1275.0,44.99,1152.6,,,,,,,,,,,,,,,,,,,
,45.35,2226,45.43,1285.2,45.26,1152.6,,,,,,,,,,,,,,,,,,,
,45.61,2247,45.70,1295.4,45.52,1152.6,,,,,,,,,,,,,,,,,,,
,45.87,2205,45.96,1305.6,45.79,1152.6,,,,,,,,,,,,,,,,,,,
,46.13,2079,46.21,1336.2,46.05,1173.0,,,,,,,,,,,,,,,,,,,
,46.39,1638,46.48,1305.6,46.30,1132.2,,,,,,,,,,,,,,,,,,,
,46.67,1512,46.76,1285.2,46.57,1132.2,,,,,,,,,,,,,,,,,,,
,46.93,1512,47.01,1254.6,46.85,1142.4,,,,,,,,,,,,,,,,,,,
,47.19,1533,47.27,1244.4,47.10,1142.4,,,,,,,,,,,,,,,,,,,
,47.44,1533,47.53,1234.2,47.35,1142.4,,,,,,,,,,,,,,,,,,,
,47.69,1554,47.77,1254.6,47.61,1305.6,,,,,,,,,,,,,,,,,,,
,47.93,1554,48.03,1305.6,47.85,1428.0,,,,,,,,,,,,,,,,,,,
,48.19,1596,48.28,1346.4,48.11,1428.0,,,,,,,,,,,,,,,,,,,
,48.43,1827,48.52,1407.6,48.35,1519.8,,,,,,,,,,,,,,,,,,,
,48.69,2142,48.77,1550.4,48.59,1672.8,,,,,,,,,,,,,,,,,,,
,48.93,2247,49.03,1397.4,48.85,1764.6,,,,,,,,,,,,,,,,,,,
,49.20,2289,49.30,1254.6,49.11,1764.6,,,,,,,,,,,,,,,,,,,
,49.47,2310,49.57,1193.4,49.38,1764.6,,,,,,,,,,,,,,,,,,,
,49.73,2331,49.83,1152.6,49.65,1774.8,,,,,,,,,,,,,,,,,,,
,49.98,2352,50.08,1142.4,49.90,1774.8,,,,,,,,,,,,,,,,,,,
,50.24,2394,50.32,1132.2,50.16,1785.0,,,,,,,,,,,,,,,,,,,
,50.49,2415,50.58,1132.2,50.40,1785.0,,,,,,,,,,,,,,,,,,,
,50.76,2436,50.86,1132.2,50.67,1795.2,,,,,,,,,,,,,,,,,,,
,51.01,2457,51.11,1132.2,50.93,1795.2,,,,,,,,,,,,,,,,,,,
,51.29,2478,51.38,1132.2,51.20,1805.4,,,,,,,,,,,,,,,,,,,
,51.54,2499,51.64,1132.2,51.45,1805.4,,,,,,,,,,,,,,,,,,,
,51.79,2520,51.88,1142.4,51.71,1815.6,,,,,,,,,,,,,,,,,,,
,52.04,2541,52.13,1142.4,51.96,1815.6,,,,,,,,,,,,,,,,,,,
,52.33,2562,52.42,1142.4,52.23,1805.4,,,,,,,,,,,,,,,,,,,
,52.59,2583,52.69,1152.6,52.50,1805.4,,,,,,,,,,,,,,,,,,,
,52.86,2604,52.95,1152.6,52.77,1805.4,,,,,,,,,,,,,,,,,,,
,53.13,2625,53.23,1162.8,53.04,1805.4,,,,,,,,,,,,,,,,,,,
,53.40,2646,53.48,1162.8,53.32,1805.4,,,,,,,,,,,,,,,,,,,
,53.66,2667,53.74,1162.8,53.57,1805.4,,,,,,,,,,,,,,,,,,,
,53.92,2688,54.01,1173.0,53.83,1795.2,,,,,,,,,,,,,,,,,,,
,54.19,2709,54.27,1173.0,54.10,1795.2,,,,,,,,,,,,,,,,,,,
,54.43,2730,54.52,1173.0,54.35,1795.2,,,,,,,,,,,,,,,,,,,
,54.68,2751,54.77,1173.0,54.60,1795.2,,,,,,,,,,,,,,,,,,,
,54.93,2772,55.03,1173.0,54.85,1795.2,,,,,,,,,,,,,,,,,,,
,55.20,2625,55.30,1203.6,55.10,1162.8,,,,,,,,,,,,,,,,,,,
,55.47,2688,55.56,1193.4,55.39,1162.8,,,,,,,,,,,,,,,,,,,
,55.73,2520,55.82,1193.4,55.64,1162.8,,,,,,,,,,,,,,,,,,,
,56.00,2289,56.09,1183.2,55.91,1142.4,,,,,,,,,,,,,,,,,,,
,56.27,2121,56.35,1183.2,56.18,1132.2,,,,,,,,,,,,,,,,,,,
,56.53,1932,56.61,1173.0,56.44,1111.8,,,,,,,,,,,,,,,,,,,
,56.77,1806,56.86,1162.8,56.69,1101.6,,,,,,,,,,,,,,,,,,,
,57.03,1680,57.12,1142.4,56.94,1091.4,,,,,,,,,,,,,,,,,,,
,57.31,1554,57.39,1132.2,57.22,1091.4,,,,,,,,,,,,,,,,,,,
,57.57,1470,57.66,1122.0,57.48,1091.4,,,,,,,,,,,,,,,,,,,
,57.83,1365,57.91,1101.6,57.74,1091.4,,,,,,,,,,,,,,,,,,,
